"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 28 15:06:44 IST 2019","Wed Aug 28 15:07:08 IST 2019","24379","Suite","Test","com.campus.qa.testcases.LoginPageTest","com.campus.qa.testcases.LoginPageTest","VerifyloginTest","VerifyloginTest",""
"passed","Wed Aug 28 19:41:07 IST 2019","Wed Aug 28 19:41:07 IST 2019","205","Campus Oil Test Automation Suite","Automated Test Run","com.campus.qa.testcases.HomePageTest","com.campus.qa.testcases.HomePageTest","verifyPageHeaderBannerLinks","verifyPageHeaderBannerLinks",""
"passed","Wed Aug 28 15:06:19 IST 2019","Wed Aug 28 15:06:20 IST 2019","280","Suite","Test","com.campus.qa.testcases.LoginPageTest","com.campus.qa.testcases.LoginPageTest","VerifycampusLogoTest","VerifycampusLogoTest",""
"passed","Wed Aug 28 19:41:39 IST 2019","Wed Aug 28 19:41:41 IST 2019","1959","Campus Oil Test Automation Suite","Automated Test Run","com.campus.qa.testcases.HomePageTest","com.campus.qa.testcases.HomePageTest","verifyAboutUSLinkTest","verifyAboutUSLinkTest",""
"passed","Wed Aug 28 19:41:17 IST 2019","Wed Aug 28 19:41:17 IST 2019","100","Campus Oil Test Automation Suite","Automated Test Run","com.campus.qa.testcases.HomePageTest","com.campus.qa.testcases.HomePageTest","verifyPageFooterLogoTest","verifyPageFooterLogoTest",""
"broken","Wed Aug 28 14:15:39 IST 2019","Wed Aug 28 14:15:39 IST 2019","4","Suite","Test","com.campus.qa.testcases.PlaceOrderAsRegisteredUserTest","com.campus.qa.testcases.PlaceOrderAsRegisteredUserTest","setUp","setUp",""
"passed","Wed Aug 28 15:06:32 IST 2019","Wed Aug 28 15:06:34 IST 2019","2494","Suite","Test","com.campus.qa.testcases.LoginPageTest","com.campus.qa.testcases.LoginPageTest","VerifyclickLoginnowTest","VerifyclickLoginnowTest",""
"skipped","Wed Aug 28 14:15:39 IST 2019","Wed Aug 28 14:15:39 IST 2019","4","Suite","Test","com.campus.qa.testcases.PlaceOrderAsRegisteredUserTest","com.campus.qa.testcases.PlaceOrderAsRegisteredUserTest","ToPlaceOrderAsUnRegisteredUserTest","Verifying the unregistered user to place the order","Test Case Description : Verify the Unregistered user to place the order"
"broken","Wed Aug 28 19:34:36 IST 2019","Wed Aug 28 19:37:38 IST 2019","181462","Campus Oil Test Automation Suite","Automated Test Run","com.campus.qa.testcases.PlaceOrderAsRegisteredUserTest","com.campus.qa.testcases.PlaceOrderAsRegisteredUserTest","ToPlaceOrderAsUnRegisteredUserTest","Verifying the unregistered user to place the order","Test Case Description : Verify the Unregistered user to place the order"
"broken","Wed Aug 28 19:38:01 IST 2019","Wed Aug 28 19:40:56 IST 2019","175221","Campus Oil Test Automation Suite","Automated Test Run","com.campus.qa.testcases.PlaceOrderAsRegisteredUserTest","com.campus.qa.testcases.PlaceOrderAsRegisteredUserTest","ToPlaceAnOrderAsRegisteredUser","Verifying the registered user to place the order","Test Case Description : Verify the Registered user to place the order"
"failed","Wed Aug 28 19:41:27 IST 2019","Wed Aug 28 19:41:29 IST 2019","1991","Campus Oil Test Automation Suite","Automated Test Run","com.campus.qa.testcases.HomePageTest","com.campus.qa.testcases.HomePageTest","verifyTitle","verifyTitle",""
"passed","Wed Aug 28 19:34:21 IST 2019","Wed Aug 28 19:34:21 IST 2019","184","Campus Oil Test Automation Suite","Automated Test Run","com.campus.qa.testcases.HomePageTest","com.campus.qa.testcases.HomePageTest","verifyLogoTest","verifyLogoTest",""
"passed","Wed Aug 28 19:42:02 IST 2019","Wed Aug 28 19:42:04 IST 2019","1820","Campus Oil Test Automation Suite","Automated Test Run","com.campus.qa.testcases.HomePageTest","com.campus.qa.testcases.HomePageTest","verifyOrderFormpageLinkTest","verifyOrderFormpageLinkTest",""
"passed","Wed Aug 28 19:41:50 IST 2019","Wed Aug 28 19:41:52 IST 2019","1860","Campus Oil Test Automation Suite","Automated Test Run","com.campus.qa.testcases.HomePageTest","com.campus.qa.testcases.HomePageTest","verifyNewsLinkTest","verifyNewsLinkTest",""
"passed","Wed Aug 28 19:37:50 IST 2019","Wed Aug 28 19:37:51 IST 2019","575","Campus Oil Test Automation Suite","Automated Test Run","com.campus.qa.testcases.HomePageTest","com.campus.qa.testcases.HomePageTest","verifyHomepageLinks","verifyHomepageLinks",""
"failed","Wed Aug 28 15:06:07 IST 2019","Wed Aug 28 15:06:07 IST 2019","62","Suite","Test","com.campus.qa.testcases.LoginPageTest","com.campus.qa.testcases.LoginPageTest","VerifyloginPageTitleTest","VerifyloginPageTitleTest",""
"skipped","Wed Aug 28 14:15:39 IST 2019","Wed Aug 28 14:15:39 IST 2019","0","Suite","Test","com.campus.qa.testcases.PlaceOrderAsRegisteredUserTest","com.campus.qa.testcases.PlaceOrderAsRegisteredUserTest","ToPlaceAnOrderAsRegisteredUser","Verifying the registered user to place the order","Test Case Description : Verify the Registered user to place the order"
